file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,3122,10313,13435
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,1637,8600,10237
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2818,8675,11493
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,549,4671,5220
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,2295,8843,11138
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_0.json,o4-mini,stop,1668,8041,9709
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_1.json,gpt-4o-mini,stop,807,5215,6022
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1768,4995,6763
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_2.json,o4-mini,stop,2336,8423,10759
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1318,4158,5476
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_2.json,gpt-4o-mini,stop,631,4554,5185
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,1380,4145,5525
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1759,4932,6691
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,1370,4193,5563
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1334,4653,5987
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,2720,12364,15084
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_2.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,3814,8600,12414
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2647,10411,13058
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,1746,8796,10542
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,1652,8122,9774
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_0.json,o4-mini,stop,3000,9379,12379
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_1.json,gpt-4o-mini,stop,2291,7980,10271
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2067,9244,11311
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_2.json,o4-mini,stop,2412,7805,10217
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1721,5910,7631
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_2.json,gpt-4o-mini,stop,909,6028,6937
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,3158,10976,14134
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1851,6839,8690
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,3214,9515,12729
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1510,5796,7306
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,2832,13438,16270
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_2.json,,,0,0,0
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,3065,8600,11665
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2563,11439,14002
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,1455,8112,9567
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,2572,8576,11148
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/test_0.json,o4-mini,stop,4143,8968,13111
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/guide_1.json,gpt-4o-mini,stop,1389,6864,8253
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2168,7226,9394
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/test_2.json,o4-mini,stop,2533,8583,11116
