file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./event-ruler/163b/MANTIS-tests-01/event-ruler/ComparableNumber/scenario_output/generate/generate_0.json,,,0,0,0
./event-ruler/163b/MANTIS-tests-01/event-ruler/ComparableNumber/scenario_output/generate/scenario_0.json,o4-mini,stop,3391,4254,7645
./event-ruler/163b/MANTIS-tests-01/event-ruler/ComparableNumber/test_output/generate/guide_0.json,gpt-4o-mini,stop,134,3148,3282
./event-ruler/163b/MANTIS-tests-01/event-ruler/ComparableNumber/test_output/generate/test_0.json,o4-mini,stop,1715,4051,5766
./event-ruler/163b/MANTIS-tests-01/event-ruler/ComparableNumber/test_output/generate/fix_1_0.json,gpt-4o-mini,stop,1353,2252,3605
./event-ruler/163b/MANTIS-tests-09/event-ruler/ComparableNumber/scenario_output/generate/generate_0.json,,,0,0,0
./event-ruler/163b/MANTIS-tests-09/event-ruler/ComparableNumber/scenario_output/generate/scenario_0.json,o4-mini,stop,1843,4254,6097
./event-ruler/163b/MANTIS-tests-09/event-ruler/ComparableNumber/test_output/generate/guide_0.json,gpt-4o-mini,stop,119,2897,3016
./event-ruler/163b/MANTIS-tests-09/event-ruler/ComparableNumber/test_output/generate/test_0.json,o4-mini,stop,2126,3677,5803
./event-ruler/163b/MANTIS-tests-09/event-ruler/ComparableNumber/test_output/generate/fix_1_0.json,gpt-4o-mini,stop,1181,1986,3167
./event-ruler/163b/MANTIS-tests-02/event-ruler/ComparableNumber/scenario_output/generate/generate_0.json,,,0,0,0
./event-ruler/163b/MANTIS-tests-02/event-ruler/ComparableNumber/scenario_output/generate/scenario_0.json,o4-mini,stop,2680,4254,6934
./event-ruler/163b/MANTIS-tests-02/event-ruler/ComparableNumber/test_output/generate/guide_0.json,gpt-4o-mini,stop,129,3004,3133
./event-ruler/163b/MANTIS-tests-02/event-ruler/ComparableNumber/test_output/generate/test_0.json,o4-mini,stop,1678,3879,5557
./event-ruler/163b/MANTIS-tests-02/event-ruler/ComparableNumber/test_output/generate/fix_1_0.json,gpt-4o-mini,stop,1177,2103,3280
./event-ruler/163b/MANTIS-tests-08/event-ruler/ComparableNumber/scenario_output/generate/generate_0.json,,,0,0,0
./event-ruler/163b/MANTIS-tests-08/event-ruler/ComparableNumber/scenario_output/generate/scenario_0.json,o4-mini,stop,2842,4254,7096
