file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens,input_cost,output_cost,total_cost,model_key
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,3122,10313,13435,0.0113443,0.0137368,0.025081100000000002,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,1637,8600,10237,0.00946,0.0072028000000000005,0.0166628,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2818,8675,11493,0.0095425,0.0123992,0.0219417,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,549,4671,5220,0.0007006499999999999,0.0003294,0.0010300499999999998,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,2295,8843,11138,0.009727300000000001,0.010098000000000001,0.019825300000000004,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_0.json,o4-mini,stop,1668,8041,9709,0.0088451,0.007339200000000001,0.0161843,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_1.json,gpt-4o-mini,stop,807,5215,6022,0.00078225,0.00048419999999999995,0.00126645,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,1768,4995,6763,0.0007492499999999999,0.0010608,0.00181005,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/test_2.json,o4-mini,stop,2336,8423,10759,0.0092653,0.0102784,0.0195437,o4-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1318,4158,5476,0.0006236999999999999,0.0007907999999999999,0.0014145,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/guide_2.json,gpt-4o-mini,stop,631,4554,5185,0.0006831,0.0003786,0.0010617,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,1380,4145,5525,0.00062175,0.000828,0.00144975,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1759,4932,6691,0.0007398,0.0010554,0.0017951999999999998,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,1370,4193,5563,0.00062895,0.0008219999999999999,0.00145095,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-01/EvalEx/Tokenizer/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1334,4653,5987,0.0006979499999999999,0.0008003999999999999,0.0014983499999999999,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,2720,12364,15084,0.0136004,0.011968000000000001,0.0255684,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,3814,8600,12414,0.00946,0.0167816,0.0262416,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2647,10411,13058,0.0114521,0.0116468,0.0230989,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,1746,8796,10542,0.0013193999999999999,0.0010475999999999999,0.0023669999999999997,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,1652,8122,9774,0.0089342,0.007268800000000001,0.016203000000000002,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_0.json,o4-mini,stop,3000,9379,12379,0.0103169,0.0132,0.0235169,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_1.json,gpt-4o-mini,stop,2291,7980,10271,0.001197,0.0013746,0.0025716,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_1.json,gpt-4o-mini,stop,2067,9244,11311,0.0013866,0.0012402,0.0026268,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/test_2.json,o4-mini,stop,2412,7805,10217,0.008585500000000001,0.0106128,0.0191983,o4-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_2.json,gpt-4o-mini,stop,1721,5910,7631,0.0008864999999999999,0.0010326,0.0019191,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/guide_2.json,gpt-4o-mini,stop,909,6028,6937,0.0009042,0.0005453999999999999,0.0014495999999999999,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_0.json,gpt-4o-mini,stop,3158,10976,14134,0.0016464,0.0018947999999999999,0.0035411999999999996,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_1.json,gpt-4o-mini,stop,1851,6839,8690,0.00102585,0.0011106,0.00213645,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_2_0.json,gpt-4o-mini,stop,3214,9515,12729,0.00142725,0.0019283999999999998,0.00335565,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-09/EvalEx/Tokenizer/test_output/parse/fix_1_2.json,gpt-4o-mini,stop,1510,5796,7306,0.0008694,0.000906,0.0017754,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_2.json,o4-mini,stop,2832,13438,16270,0.014781800000000001,0.012460800000000001,0.027242600000000002,o4-mini
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_1.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_0.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/parse_2.json,,,0,0,0,0.0,0.0,0.0,unknown
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_0.json,o4-mini,stop,3065,8600,11665,0.00946,0.013486000000000001,0.022946,o4-mini
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/scenario_output/parse/scenario_1.json,o4-mini,stop,2563,11439,14002,0.012582900000000001,0.011277200000000001,0.023860100000000002,o4-mini
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/guide_0.json,gpt-4o-mini,stop,1455,8112,9567,0.0012167999999999999,0.000873,0.0020897999999999997,gpt-4o-mini
./EvalEx/483b/MANTIS-tests-02/EvalEx/Tokenizer/test_output/parse/test_1.json,o4-mini,stop,2572,8576,11148,0.0094336,0.0113168,0.020750400000000002,o4-mini
