file_path,model,finish_reason,completion_tokens,prompt_tokens,total_tokens
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/wrap_1.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/scenario_2.json,o4-mini,stop,1628,8909,10537
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/wrap_0.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/wrap_2.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/scenario_0.json,o4-mini,stop,2328,7726,10054
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/scenario_output/wrap/scenario_1.json,o4-mini,stop,2194,7812,10006
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/test_output/wrap/guide_0.json,gpt-4o-mini,stop,974,3927,4901
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/test_output/wrap/test_1.json,o4-mini,stop,1422,7308,8730
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/test_output/wrap/test_0.json,o4-mini,stop,1732,7818,9550
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/test_output/wrap/test_2.json,o4-mini,stop,813,6464,7277
./word-wrap/105b/MANTIS-tests-01/word-wrap/WordWrap/test_output/wrap/fix_1_0.json,gpt-4o-mini,stop,1447,3872,5319
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/wrap_1.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/scenario_2.json,o4-mini,stop,1927,8872,10799
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/wrap_0.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/wrap_2.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/scenario_0.json,o4-mini,stop,2246,7726,9972
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/scenario_output/wrap/scenario_1.json,o4-mini,stop,1752,7877,9629
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/guide_0.json,gpt-4o-mini,stop,108,3217,3325
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/test_1.json,o4-mini,stop,1409,7304,8713
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/test_0.json,o4-mini,stop,1559,8042,9601
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/guide_1.json,gpt-4o-mini,stop,382,2819,3201
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/fix_2_1.json,gpt-4o-mini,stop,1048,2172,3220
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/test_2.json,o4-mini,stop,1764,7033,8797
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/fix_1_0.json,gpt-4o-mini,stop,1485,2296,3781
./word-wrap/105b/MANTIS-tests-09/word-wrap/WordWrap/test_output/wrap/fix_1_1.json,gpt-4o-mini,stop,1048,1887,2935
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/wrap_1.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/scenario_2.json,o4-mini,stop,2354,8292,10646
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/wrap_0.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/wrap_2.json,,,0,0,0
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/scenario_0.json,o4-mini,stop,1848,7726,9574
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/scenario_output/wrap/scenario_1.json,o4-mini,stop,2069,7501,9570
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/test_output/wrap/test_1.json,o4-mini,stop,1100,7183,8283
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/test_output/wrap/test_0.json,o4-mini,stop,1329,7360,8689
./word-wrap/105b/MANTIS-tests-02/word-wrap/WordWrap/test_output/wrap/test_2.json,o4-mini,stop,1457,7148,8605
